Grids,R0C0,R0C1,R0C2,R0C3,R0C4,R1C0,R1C1,R1C2,R1C3,R1C4,R2C0,R2C1,R2C2,R2C3,R2C4,R3C0,R3C1,R3C2,R3C3,R3C4,R4C0,R4C1,R4C2,R4C3,R4C4
R104,0,16,74,10,0,8,28,10,14,0,20,34,27,1,0,25,24,69,7,18,11,18,121,48,17
R105,0,21,66,13,0,9,29,8,14,0,12,45,28,1,0,13,29,65,9,19,13,13,132,61,18
R106,0,20,64,15,0,7,31,9,17,0,17,49,32,3,0,18,27,86,9,16,18,24,118,62,10
R107,0,22,57,11,0,6,40,16,16,0,13,42,31,1,0,13,33,85,13,14,15,11,119,54,20
R108,0,26,78,15,0,7,31,10,20,0,17,39,31,3,0,16,26,78,18,19,19,15,122,62,18
R109,0,24,85,24,0,8,40,6,25,0,23,42,44,2,0,18,29,59,14,14,18,18,106,57,17
R110,0,20,72,15,0,7,38,9,23,0,25,38,44,1,0,12,23,67,16,19,15,11,130,49,14
R111,0,18,72,17,0,6,55,8,10,0,20,40,29,2,0,12,30,56,16,20,15,13,116,75,21
R112,0,16,73,9,0,8,36,15,14,0,23,42,49,0,0,13,28,68,14,12,8,20,125,58,23
R113,0,14,85,12,0,14,34,8,15,0,18,48,48,2,0,13,29,74,19,14,14,8,104,55,22
R114,0,25,90,16,0,8,44,11,25,0,18,38,40,0,0,15,24,52,10,18,17,15,93,50,18
R115,0,21,62,22,0,12,54,13,15,0,27,30,42,2,0,11,28,51,17,16,10,11,114,41,22
R116,0,24,58,18,0,4,44,15,27,0,32,49,48,2,0,12,25,67,8,13,11,23,114,56,12
R117,0,17,63,20,0,13,36,18,28,0,32,50,53,0,0,14,32,54,12,13,7,20,104,48,19
R118,0,13,71,17,0,8,46,8,20,0,25,47,47,1,0,8,29,57,16,8,10,17,95,35,12
R119,0,20,73,23,0,5,55,11,17,0,29,39,60,3,0,13,28,72,28,15,15,21,113,47,13
R120,0,17,60,19,0,11,61,18,36,0,30,51,46,2,0,10,40,62,23,15,20,10,117,51,13
R121,0,19,82,24,0,5,57,6,24,0,39,51,48,2,0,9,43,66,14,18,14,17,94,38,28
R122,0,17,52,21,0,4,56,12,29,0,30,38,54,5,0,15,29,68,26,15,12,18,103,40,20
R123,0,14,72,21,0,6,58,15,25,0,27,36,51,2,0,16,37,54,23,16,13,17,93,48,13
R124,0,24,70,18,0,3,52,13,28,0,31,44,44,4,0,8,39,54,25,18,15,17,99,44,17
R125,0,17,69,26,0,1,58,12,32,0,24,43,49,5,0,16,38,64,30,23,17,27,96,42,12
R126,0,26,67,30,0,7,52,11,25,0,35,48,52,1,0,16,30,58,26,10,14,19,82,44,15
R127,0,15,67,25,0,3,49,15,29,0,31,56,44,1,0,11,30,62,27,19,15,21,84,48,10
R128,0,28,73,15,0,5,69,11,33,0,27,38,49,4,0,10,35,54,27,20,8,21,85,39,21
R129,0,23,69,20,0,6,55,17,31,0,25,52,58,2,0,13,37,47,27,16,11,19,97,41,9
R130,0,24,69,24,0,4,80,23,27,0,34,43,60,10,0,7,45,48,23,17,17,14,75,52,14
R131,0,25,59,19,0,1,67,19,24,0,30,45,73,6,0,5,42,56,33,23,10,22,86,40,9
R132,0,17,61,20,0,5,61,28,33,0,39,40,60,5,0,13,37,64,28,25,13,27,95,43,14
R133,0,12,54,33,0,7,74,24,31,0,43,48,57,5,0,6,34,43,26,14,11,16,59,43,15
R134,0,22,68,35,0,4,73,18,26,0,41,49,48,9,0,16,46,57,35,22,18,28,82,35,18
R135,0,24,61,21,0,2,59,23,35,0,39,48,59,11,0,8,36,51,21,22,13,19,80,30,11
R136,0,22,73,21,0,5,66,28,31,0,26,41,69,13,0,10,47,63,25,18,18,23,74,57,13
R137,0,31,51,31,0,3,64,30,35,0,24,34,74,17,0,4,55,62,25,11,10,21,86,41,13
R138,0,18,63,21,0,2,76,23,44,0,29,43,71,12,0,12,46,56,31,22,15,26,67,41,5
R139,0,27,75,27,0,5,65,39,37,0,28,47,69,19,0,14,38,49,42,24,12,18,64,41,20
R140,0,23,60,41,0,2,79,32,37,0,35,37,79,9,0,12,49,59,32,27,20,21,71,48,8
