Grids,R0C0,R0C1,R0C2,R0C3,R0C4,R0C5,R1C0,R1C1,R1C2,R1C3,R1C4,R1C5,R2C0,R2C1,R2C2,R2C3,R2C4,R2C5,R3C0,R3C1,R3C2,R3C3,R3C4,R3C5,R4C0,R4C1,R4C2,R4C3,R4C4,R4C5
B135,0,4,9,11,0,18,0,2,6,12,1,8,1,3,4,7,20,17,0,5,10,7,27,2,6,0,9,7,16,0
B136,0,5,4,14,0,7,1,5,10,17,0,10,3,1,8,15,17,11,0,2,10,4,42,1,2,0,10,8,12,0
B137,0,5,4,9,0,13,0,4,7,13,0,8,3,1,7,8,26,22,1,4,9,6,29,1,1,0,7,7,20,0
B138,0,2,7,17,0,9,0,3,6,14,1,11,2,6,11,9,26,12,0,2,14,3,27,2,8,0,8,8,14,1
B139,0,3,9,11,0,3,0,5,8,15,1,5,2,5,8,6,17,14,0,2,10,7,21,1,3,0,4,8,13,1
B140,0,3,6,9,0,10,0,6,4,14,1,10,3,6,11,10,17,16,3,6,13,2,22,3,2,0,15,14,17,0
B141,0,4,7,18,0,3,0,9,6,17,1,8,2,0,4,9,17,15,0,5,8,2,30,0,4,0,10,15,11,0
B142,0,2,7,14,0,5,0,3,7,8,0,3,4,1,5,9,11,19,0,1,12,6,32,3,3,0,6,11,12,0
B143,0,6,3,14,0,9,0,9,6,15,1,8,0,1,4,12,22,13,4,2,15,2,32,3,3,0,6,10,14,0
B144,0,3,4,6,0,8,0,8,12,18,1,7,1,2,5,8,20,15,2,2,12,2,17,3,3,0,8,5,16,0
B145,0,3,6,12,0,7,0,3,6,12,0,7,1,6,7,13,20,17,1,2,10,0,29,1,1,0,3,4,9,0
B146,0,4,7,12,0,8,0,8,6,9,1,5,2,4,2,13,12,21,3,2,7,2,25,1,2,0,8,7,8,1
B147,0,7,5,9,0,5,0,4,10,11,0,6,4,6,4,10,13,28,3,6,14,6,17,2,2,0,7,5,16,0
B148,0,5,2,8,0,4,1,4,8,11,0,6,3,4,6,12,12,20,1,6,10,5,18,4,2,0,9,8,11,0
B149,0,2,4,20,0,5,0,2,6,13,0,3,3,5,3,4,7,16,6,4,9,3,14,3,2,0,12,4,13,1
B150,0,3,4,6,0,8,0,2,4,12,0,5,3,1,6,11,22,22,2,2,9,3,24,1,4,0,9,11,10,0
B151,0,0,0,13,0,5,0,4,8,13,0,6,0,3,11,10,17,14,7,3,13,5,19,1,2,0,11,9,12,1
B152,0,3,5,9,0,6,0,7,8,15,0,2,1,3,5,11,8,23,1,7,10,1,16,1,2,0,12,4,8,0
B153,0,8,4,5,0,8,0,7,9,11,0,8,2,5,3,7,18,24,8,3,15,6,15,0,2,0,8,6,11,0
B154,0,2,3,7,0,6,0,2,8,13,0,5,3,5,5,7,9,15,6,3,13,4,17,2,3,0,12,9,5,0
B155,0,1,5,9,0,6,0,2,6,13,1,7,1,1,4,14,5,22,6,3,13,2,15,0,6,0,7,6,15,1
B156,0,1,2,9,0,2,0,4,4,10,0,6,1,5,7,7,14,23,10,3,10,3,9,3,6,0,13,6,5,0
B157,0,8,3,12,0,6,0,3,3,10,0,1,3,0,8,5,14,19,5,3,6,7,15,0,4,0,8,7,9,0
B158,0,2,2,3,0,4,0,4,11,10,0,7,1,0,7,11,15,31,20,4,12,5,13,1,2,0,12,8,6,0
B159,0,0,2,9,0,4,1,2,12,14,0,1,1,5,3,11,16,22,13,4,11,3,8,0,4,0,6,4,10,0
B160,0,3,3,10,0,4,0,2,4,11,1,2,1,1,1,8,11,26,6,2,10,3,14,1,5,0,7,2,3,0
B161,0,1,6,8,0,1,1,1,11,8,0,5,0,0,4,7,9,25,6,7,10,2,11,1,3,0,17,7,8,0
B162,0,2,9,6,0,6,0,1,10,8,0,6,0,4,1,4,8,36,3,4,10,5,6,1,8,0,19,7,8,1
B163,0,3,8,9,0,3,0,2,11,11,0,6,1,1,2,12,8,29,3,2,7,5,13,0,5,0,15,4,5,1
B164,0,2,8,6,0,5,0,1,11,10,0,6,1,0,5,11,7,26,9,5,8,3,11,1,6,0,13,4,6,0
B165,0,1,5,8,0,1,0,7,10,11,0,4,0,3,6,8,6,23,5,4,8,1,6,3,9,0,12,10,8,0
B166,0,6,3,10,0,1,0,6,14,8,0,1,1,5,4,7,12,33,10,4,10,1,7,1,4,0,9,3,5,1
B167,0,3,7,9,0,3,0,1,11,8,0,3,1,5,2,4,11,40,8,5,5,2,9,0,12,0,5,8,10,0
B168,0,1,8,3,0,3,0,0,10,8,0,2,0,3,6,5,6,39,5,3,13,1,3,1,5,0,9,4,6,0
B169,0,0,4,8,0,2,0,1,15,12,0,10,0,4,5,2,8,34,8,8,12,7,0,1,9,0,5,6,4,1
B170,0,3,7,12,0,3,0,1,19,12,0,5,2,3,5,4,4,34,9,11,12,3,5,1,12,0,4,3,6,0
B171,0,3,6,8,0,1,0,3,8,8,0,1,1,2,7,4,2,39,6,9,7,1,5,0,6,0,5,4,5,0
B172,0,2,6,8,0,4,0,3,5,7,0,3,0,8,8,5,4,33,8,11,4,0,8,2,5,0,1,4,4,1
B173,0,0,3,4,0,2,0,2,20,9,0,4,0,6,6,1,3,24,3,15,6,2,5,0,8,0,3,4,4,1
B174,0,1,11,3,0,1,0,2,14,5,0,4,1,11,10,6,9,42,3,17,4,2,7,1,7,0,4,5,2,0
B175,0,2,6,6,0,3,0,2,10,9,0,5,1,8,7,0,8,33,7,20,6,2,3,0,7,0,3,4,3,0
B176,0,2,6,4,0,1,0,3,9,4,0,2,0,9,4,0,8,34,4,24,7,1,8,0,4,0,3,3,1,2
B177,0,0,5,9,0,0,0,1,13,8,0,1,0,10,6,3,7,34,14,28,13,0,5,1,13,0,7,4,5,1
B178,0,0,7,4,0,4,0,2,14,10,0,5,0,12,5,3,5,52,7,33,9,2,9,1,10,0,1,4,1,0
B179,0,1,11,6,0,0,0,2,11,9,0,2,0,8,10,2,8,39,12,26,6,0,5,0,14,0,3,3,1,0
B180,0,1,2,3,0,3,0,1,10,6,0,3,1,6,5,1,4,42,5,33,8,1,4,0,11,0,0,4,2,1
B181,0,0,4,4,0,3,0,1,10,9,1,2,1,6,6,1,6,38,8,25,4,1,5,0,13,0,1,4,3,0
B182,0,2,5,2,0,0,0,0,11,3,0,2,1,9,7,5,5,47,9,41,5,0,5,0,9,0,0,3,3,0
B183,0,0,2,3,0,1,0,0,9,13,0,1,0,10,4,1,4,53,13,33,4,1,7,0,9,0,2,4,2,0
B184,0,0,8,2,0,1,0,1,11,8,0,0,1,8,9,0,5,38,12,37,7,3,2,0,8,0,0,2,0,1
B185,0,0,4,4,0,0,0,2,7,11,0,1,0,6,8,1,7,48,6,36,10,2,7,0,18,0,1,0,2,1
B186,0,0,3,4,0,0,0,0,11,12,0,2,0,7,2,1,4,50,9,46,13,2,3,1,10,0,2,4,0,1
B187,0,2,4,8,0,1,0,0,8,13,0,2,0,9,8,0,3,56,11,40,6,5,2,1,5,0,2,2,2,0
B188,0,0,3,6,0,0,0,0,13,7,1,3,0,12,5,2,2,53,3,32,5,2,5,0,4,0,3,4,1,0
B189,0,0,8,1,0,1,0,1,14,6,0,3,0,6,5,2,4,47,4,41,8,0,2,1,10,0,0,0,1,1
B190,0,1,2,3,0,1,0,0,5,3,1,2,0,13,7,2,3,58,7,43,4,4,5,1,8,0,1,2,3,1
B191,0,0,4,1,0,0,0,4,8,5,0,2,0,7,2,1,2,44,7,39,5,2,5,1,6,0,0,1,2,0
B192,0,0,6,2,0,0,0,1,4,10,0,1,0,5,7,2,1,42,5,43,7,1,5,1,3,0,1,0,3,1
B193,0,2,7,4,0,0,0,0,3,4,1,1,0,8,12,3,4,49,3,45,7,1,4,0,6,0,0,1,0,0
B194,0,0,4,0,0,1,0,3,7,3,0,1,0,13,8,0,3,37,9,42,4,0,4,0,5,0,1,2,2,0
B195,0,0,1,0,0,0,0,1,6,3,0,0,0,8,8,1,4,37,5,33,2,2,11,0,4,0,0,2,2,3
B196,0,0,2,3,0,0,0,0,1,6,0,3,0,10,5,0,3,44,2,41,6,2,6,1,3,0,2,4,3,0
B197,0,0,3,3,0,2,0,0,2,7,0,1,0,12,7,1,3,31,4,32,5,1,6,0,4,0,3,1,1,2
B198,0,0,3,1,0,1,0,1,2,4,0,1,0,4,7,1,5,36,4,34,3,2,5,2,2,0,2,2,2,0
B199,0,1,2,1,0,0,0,0,6,5,0,0,0,13,5,0,0,30,2,41,4,1,5,1,1,0,0,3,2,0
B200,0,1,2,5,0,0,0,0,4,3,0,1,1,9,9,1,2,29,3,34,8,0,8,0,2,0,3,0,3,1
B201,0,1,0,2,0,0,0,1,5,1,0,2,0,8,8,0,3,31,4,35,3,0,6,1,0,0,2,2,1,2
B202,0,0,2,4,0,0,0,0,2,4,0,3,0,13,8,0,5,27,0,29,4,1,6,0,0,0,2,2,3,1
B203,0,2,2,1,0,2,0,0,4,5,0,0,0,8,6,0,2,29,1,40,4,2,8,0,0,0,0,3,0,2
