Grids,R0C0,R0C1,R0C2,R0C3,R0C4,R0C5,R1C0,R1C1,R1C2,R1C3,R1C4,R1C5,R2C0,R2C1,R2C2,R2C3,R2C4,R2C5,R3C0,R3C1,R3C2,R3C3,R3C4,R3C5,R4C0,R4C1,R4C2,R4C3,R4C4,R4C5
G167,0,69,493,334,491,410,0,4,44,27,3,30,0,1,17,13,30,40,1,4,21,22,36,2,0,1,26,41,16,0
G168,0,44,508,358,416,309,0,1,54,17,2,32,1,4,23,17,39,55,1,1,25,15,39,5,1,2,26,33,26,0
G169,0,41,534,323,269,257,0,4,50,27,3,30,2,3,17,10,38,47,0,5,32,23,45,3,1,1,44,32,13,0
G170,0,35,430,345,190,120,0,4,42,38,3,36,0,5,15,10,37,48,0,5,29,20,38,4,1,3,27,40,23,1
G171,0,30,351,351,135,98,0,4,45,27,3,40,0,1,20,9,29,50,1,3,31,20,47,3,2,6,54,32,22,1
G172,0,31,330,386,73,55,0,3,41,19,4,40,1,4,19,17,28,54,1,5,35,20,55,5,2,4,43,27,28,0
G173,0,23,324,347,54,47,0,4,48,27,8,32,1,1,23,17,23,48,0,3,38,28,63,1,4,3,46,43,20,0
G174,0,24,262,316,35,47,0,9,39,26,6,39,4,2,20,18,32,39,0,4,36,25,57,3,1,4,53,35,15,0
G175,0,23,219,283,23,48,0,8,39,36,2,48,2,3,17,12,37,47,0,4,41,17,43,1,1,6,65,31,21,0
G176,0,18,148,214,8,51,1,6,35,36,3,36,1,1,24,4,46,55,1,0,39,9,55,2,5,6,55,20,18,0
G177,0,31,78,130,2,74,0,7,36,16,6,27,1,2,24,11,27,37,0,4,30,21,42,1,3,4,64,35,26,0
G178,0,26,46,74,1,66,0,11,41,25,5,33,1,2,22,8,33,34,1,5,33,17,42,3,1,9,73,36,15,1
G179,0,36,30,34,1,81,0,14,46,20,6,41,1,3,18,14,29,33,1,1,52,17,42,2,2,5,67,31,16,2
G180,0,33,20,16,0,77,0,7,35,22,4,31,1,8,23,21,22,26,1,2,39,15,52,2,5,8,70,29,21,0
G181,0,31,14,17,0,63,0,17,47,31,5,26,7,8,17,22,32,35,1,2,46,20,46,4,3,1,59,35,13,1
G182,0,30,17,19,0,62,0,14,50,32,9,32,1,6,22,8,35,30,0,2,33,16,46,7,6,7,68,38,21,1
G183,0,38,18,15,0,64,0,23,30,32,7,39,5,9,18,7,24,30,0,4,36,10,46,2,7,9,54,39,22,0
G184,0,32,17,6,0,75,0,25,39,19,8,29,9,13,24,10,29,17,1,6,43,14,46,0,7,4,55,40,20,1
G185,0,30,15,11,0,94,0,23,29,29,4,29,5,14,19,10,22,37,2,9,46,18,46,3,2,3,54,46,13,0
G186,0,31,17,12,0,66,0,32,33,26,3,32,3,9,21,8,29,30,0,3,41,13,35,2,4,1,50,31,13,0
G187,0,31,12,14,0,70,0,28,46,29,6,25,2,16,8,9,25,22,1,2,59,19,38,1,6,2,33,35,16,0
G188,0,26,15,4,0,77,0,38,38,30,4,37,6,16,18,10,14,28,1,2,62,14,34,4,1,7,27,32,9,0
G189,0,21,22,11,0,61,0,47,28,40,6,41,2,14,21,15,25,27,1,2,55,15,31,2,4,2,46,30,17,0
G190,0,30,12,8,0,61,0,36,24,35,3,33,7,16,23,5,24,28,3,5,62,9,59,5,2,3,44,28,16,1
G191,0,18,20,7,0,77,2,48,30,26,8,30,11,28,15,16,20,32,0,1,59,10,38,4,4,1,42,31,21,0
G192,0,17,19,6,0,73,0,51,26,28,9,28,7,26,21,16,14,27,2,2,45,15,31,3,3,1,33,34,11,1
G193,0,14,18,10,0,67,1,50,32,27,7,22,12,27,22,16,15,29,2,3,41,9,33,3,4,1,35,22,12,0
G194,0,22,22,9,0,61,0,59,32,28,5,29,12,27,18,12,25,29,3,2,43,11,41,3,3,1,30,31,17,0
G195,0,15,20,6,0,71,0,50,31,27,6,30,8,38,18,11,25,21,3,6,38,16,33,3,5,1,28,37,7,1
G196,0,10,13,8,0,68,0,48,30,24,7,18,21,26,27,8,14,26,2,5,45,15,38,4,4,0,28,29,17,1
G197,0,17,14,10,0,68,0,60,28,28,7,19,9,32,30,9,26,27,4,8,45,14,28,3,5,0,39,28,13,0
G198,0,16,19,8,0,60,0,47,22,27,11,34,10,33,20,15,17,27,6,5,38,9,30,3,7,0,29,35,14,0
G199,0,8,21,6,0,65,0,66,32,23,7,27,13,36,14,5,23,32,7,3,24,13,25,3,5,1,27,16,18,2
G200,0,17,16,5,0,56,0,49,30,26,13,22,7,27,15,11,21,25,7,4,41,15,24,2,2,0,28,30,13,0
G201,0,15,21,8,0,37,0,35,28,32,12,23,8,35,16,10,18,27,3,5,28,10,21,1,4,0,24,24,20,0
G202,0,18,19,6,0,56,0,49,36,27,5,22,19,29,15,8,10,34,16,4,32,7,31,1,4,0,31,22,9,1
G203,0,16,21,4,0,42,0,29,33,26,13,23,21,39,20,8,12,25,11,3,25,15,25,4,5,0,17,21,12,0
G204,0,13,23,2,0,42,0,42,21,25,4,20,11,27,17,5,11,39,8,2,20,11,34,2,7,0,23,12,16,1
G205,0,12,18,5,0,35,0,34,20,19,10,22,12,23,24,12,12,31,12,7,28,12,17,2,9,0,32,18,13,1
G206,0,10,20,5,0,29,0,30,25,26,15,16,15,12,18,13,21,33,14,3,26,10,21,3,13,0,28,19,14,0
G207,0,17,20,1,0,33,0,18,23,25,12,13,13,20,19,4,15,34,11,3,23,16,29,4,3,0,38,18,12,0
G208,0,23,26,3,0,35,0,31,31,22,9,15,17,18,21,8,15,25,6,5,25,17,15,1,7,0,26,16,7,0
G209,0,12,25,4,0,37,0,20,25,24,8,30,15,14,13,4,6,42,14,6,20,18,9,0,8,0,21,18,11,0
G210,0,14,20,1,0,31,0,22,23,15,8,14,10,10,16,9,9,35,8,4,21,10,4,0,14,0,27,21,10,0
G211,0,11,23,4,0,33,0,26,33,22,11,25,13,14,20,8,10,33,12,8,20,16,22,6,9,0,18,19,14,0
G212,0,16,21,3,0,26,0,15,28,19,9,15,12,17,18,4,6,39,6,4,18,16,11,0,7,0,24,18,11,2
G213,0,9,24,2,0,27,0,15,26,16,12,19,10,11,10,3,9,40,12,9,24,16,11,1,8,0,20,10,8,1
G214,0,15,27,3,0,32,0,13,28,25,12,11,13,9,15,2,10,42,15,13,20,9,24,2,11,0,33,11,9,1
G215,0,13,24,3,0,23,0,13,30,17,17,13,7,10,14,8,9,38,4,14,18,9,13,0,8,0,31,23,15,0
G216,0,13,22,1,0,23,0,15,23,13,24,16,3,13,13,4,13,38,11,10,21,10,8,0,15,0,22,20,8,0
G217,0,7,12,2,0,21,0,8,29,12,13,21,10,9,15,7,6,42,9,13,20,11,13,2,14,0,23,18,7,1
G218,0,7,15,3,0,22,0,12,35,16,16,14,8,12,9,4,13,35,10,12,23,9,10,0,22,0,19,13,9,2
G219,0,10,28,2,0,36,2,11,32,18,15,18,4,9,13,8,9,40,6,24,23,9,9,1,8,0,23,18,11,0
G220,0,3,15,3,0,20,0,15,26,17,13,10,9,9,15,4,6,32,5,22,12,9,11,0,16,0,31,19,5,2
G221,0,14,21,1,0,20,1,8,18,14,7,13,8,8,14,3,7,30,12,26,19,6,5,2,14,0,27,12,6,2
G222,0,11,16,0,0,15,0,13,21,33,12,17,5,7,13,0,7,44,9,26,23,3,10,1,12,0,26,11,3,1
G223,0,3,7,3,0,21,0,10,26,22,11,7,6,13,8,3,10,46,11,25,14,9,9,0,10,0,26,8,10,0
G224,0,1,11,1,0,10,1,11,31,22,15,7,7,13,18,2,8,40,10,32,19,7,11,1,9,0,17,10,6,4
G225,0,8,17,2,0,14,0,11,32,24,10,3,4,15,13,1,2,37,10,29,20,6,6,1,15,0,22,9,5,2
G226,0,2,14,2,0,16,0,5,20,18,12,7,7,14,16,1,2,43,9,34,19,3,10,1,11,0,30,11,6,4
G227,0,4,10,0,0,16,0,10,30,21,13,13,1,17,16,1,2,57,11,37,24,0,13,0,5,0,22,7,4,3
G228,0,6,12,0,0,10,0,3,23,19,13,12,2,22,8,0,9,43,3,37,27,0,10,2,3,0,37,13,7,1
G229,0,4,10,1,0,12,0,8,16,18,9,11,3,12,11,3,3,49,11,48,21,4,8,1,6,0,30,13,7,2
G230,0,2,10,0,0,5,0,5,15,16,12,6,4,7,16,2,2,47,13,34,22,0,6,0,7,0,25,8,4,1
G231,0,5,13,1,0,10,2,4,17,14,7,9,5,15,17,3,11,55,5,56,18,1,9,0,1,0,38,8,7,1
G232,0,0,15,0,0,10,0,4,18,15,8,10,2,6,15,2,7,60,5,36,15,3,7,1,2,0,22,5,8,1
G233,0,3,7,0,0,15,1,9,17,18,11,14,7,14,11,2,3,61,8,44,14,1,5,1,3,0,24,10,4,0
G234,0,1,7,1,0,10,0,5,15,19,9,5,5,14,11,0,2,67,2,50,16,3,12,1,3,0,40,4,5,3
G235,0,2,10,0,0,4,0,6,17,16,9,7,1,18,9,1,4,63,3,34,26,0,4,2,1,0,24,7,5,1
G236,0,0,15,0,0,6,0,8,11,14,8,6,3,9,12,0,8,79,5,45,16,2,12,0,2,0,39,9,3,1
G237,0,3,14,0,0,10,0,9,13,12,6,11,4,10,8,1,2,66,5,53,22,3,7,1,1,0,29,7,4,2
G238,0,2,12,0,0,7,0,9,9,15,9,7,3,9,11,0,8,69,3,71,15,5,7,0,0,0,25,7,2,1
G239,0,2,5,1,0,7,0,8,8,16,7,9,5,9,13,0,5,69,4,49,17,4,6,3,1,0,27,4,2,1
G240,0,0,4,0,0,3,0,9,9,21,3,4,1,17,13,1,6,78,4,58,21,1,7,0,3,0,25,8,4,2
G241,0,1,8,0,0,10,0,7,15,12,4,3,3,12,13,0,1,77,3,43,20,2,10,0,1,0,17,9,4,1
G242,0,0,8,0,0,5,0,3,16,8,1,7,0,13,14,1,5,68,3,49,18,3,6,0,3,0,28,10,4,2
G243,0,0,5,0,0,5,0,2,11,9,2,4,2,17,14,1,2,86,2,58,9,3,7,1,2,0,14,7,4,1
G244,0,0,2,0,0,7,0,2,10,16,0,5,0,23,9,0,7,61,5,54,20,0,7,1,2,0,21,5,3,0
G245,0,2,6,0,0,8,0,3,7,6,4,7,4,17,11,0,3,61,5,50,22,2,11,0,1,0,17,5,5,2
G246,0,2,8,0,0,6,1,6,9,12,3,2,0,10,20,0,1,64,3,65,12,1,14,0,3,0,11,9,2,2
G247,0,3,8,0,0,5,0,4,15,12,3,14,4,7,16,1,0,56,2,65,10,2,12,1,1,0,9,9,5,2
G248,0,2,6,0,0,7,1,1,11,17,3,9,1,20,13,2,1,51,1,54,22,3,4,0,1,0,10,11,3,1
G249,0,0,3,0,0,3,0,9,10,11,3,10,2,8,10,0,3,66,2,50,18,1,5,1,0,0,9,8,2,4
G250,0,2,8,0,0,5,0,3,14,15,1,6,0,12,13,1,5,64,2,44,27,3,12,1,2,0,6,4,1,1
G251,0,2,3,0,0,5,0,4,9,19,0,13,2,16,15,0,5,93,3,48,26,2,17,1,1,0,6,1,0,2
G252,0,1,5,0,0,3,0,2,13,28,3,11,0,10,23,3,8,87,3,62,32,5,14,2,1,0,2,3,0,2
G253,0,1,6,0,0,4,1,3,27,21,2,29,2,19,22,2,12,96,2,67,34,10,38,0,2,0,9,3,4,4
G254,0,1,9,0,0,7,0,2,43,30,1,46,1,16,57,2,15,123,5,79,73,15,56,1,1,0,10,6,6,2
G255,0,8,24,1,0,14,0,12,76,67,9,104,3,32,143,3,30,313,18,174,147,39,120,5,9,0,19,18,7,12
R0,0,0,0,29,0,0,0,0,0,14,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0
R1,0,0,0,16,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0
R2,0,0,0,14,0,0,0,0,0,7,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0
R3,0,0,0,21,0,0,0,0,0,12,1,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0
R4,0,0,0,15,0,0,0,0,0,12,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0
R5,0,0,0,25,0,0,0,0,0,6,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0
R6,0,0,0,21,0,0,0,0,0,22,0,0,0,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0,0,0
R7,0,0,0,17,0,0,0,0,0,10,0,0,0,0,0,0,9,0,0,0,0,0,12,0,0,0,0,0,0,0
R8,0,0,0,24,0,0,0,0,0,9,0,0,0,0,0,0,12,0,0,0,0,0,15,0,0,0,0,0,0,0
R9,0,0,0,25,0,0,0,0,0,18,0,0,0,0,0,0,17,0,0,0,0,0,8,0,0,0,0,0,0,0
R10,0,0,0,18,0,0,0,0,0,14,0,0,0,0,0,0,24,0,0,0,0,0,11,0,0,0,0,0,0,0
R11,0,0,0,26,0,0,0,0,0,17,0,0,0,0,0,0,22,0,0,0,0,0,12,0,0,0,0,0,0,0
R12,0,0,0,41,0,0,0,0,0,22,0,0,0,0,0,0,34,0,0,0,0,0,11,0,0,0,0,0,0,0
R13,0,0,0,24,0,0,0,0,0,19,1,0,0,0,0,1,31,0,0,0,0,0,14,0,0,0,0,0,0,0
R14,0,0,0,36,0,0,0,0,0,13,0,0,0,0,0,0,17,0,0,0,0,0,12,0,0,0,0,0,0,0
R15,0,0,1,31,0,0,0,0,0,14,0,0,0,0,0,0,31,0,0,0,0,0,13,0,0,0,0,0,0,0
R16,0,0,0,30,0,0,0,0,0,28,0,0,0,0,0,1,26,0,0,0,0,0,7,0,0,0,0,0,0,0
R17,0,0,0,34,0,0,0,0,0,18,0,0,0,0,0,0,28,0,0,0,0,0,9,0,0,0,0,0,0,0
R18,0,0,0,39,0,0,0,0,0,19,0,0,0,0,0,0,32,0,0,0,0,0,8,0,0,0,0,0,0,0
R19,0,0,1,33,0,0,0,0,0,17,0,0,0,0,0,0,20,0,0,0,0,0,7,0,0,0,0,0,0,0
R20,0,0,0,36,0,0,0,0,0,23,1,0,0,0,0,1,23,0,0,0,0,0,10,0,0,0,0,0,0,0
R21,0,0,0,21,0,0,0,0,0,31,0,0,0,0,0,0,16,0,0,0,0,0,12,0,0,0,0,0,0,0
R22,0,0,0,33,0,0,0,0,0,34,0,0,0,0,0,0,27,0,0,0,0,0,2,0,0,0,0,0,0,0
R23,0,0,0,29,0,0,0,0,0,34,0,0,0,0,0,0,25,0,0,0,0,0,6,0,0,0,0,0,0,0
R24,0,0,1,35,0,0,0,0,0,29,0,0,0,0,0,1,21,0,0,0,0,0,9,0,0,0,0,0,0,0
R25,0,0,0,32,0,0,0,0,0,36,0,0,0,0,0,0,23,0,0,0,1,0,10,0,0,0,0,0,0,0
R26,0,0,2,30,0,0,0,0,0,31,0,0,0,0,0,0,20,0,0,0,1,1,7,0,0,0,0,0,0,0
R27,0,0,0,25,0,0,0,0,0,27,1,0,0,0,0,1,28,0,0,0,1,0,11,0,0,0,0,0,0,0
R28,0,0,1,29,0,0,0,0,0,22,0,0,0,0,0,1,14,0,0,0,1,0,4,0,0,0,0,0,0,0
R29,0,0,0,30,0,0,0,0,0,34,0,0,0,0,0,0,18,0,0,0,0,0,10,0,0,0,0,0,0,0
R30,0,0,1,30,0,0,0,0,0,33,0,0,0,0,0,0,12,0,0,0,1,0,7,0,0,0,0,0,0,0
R31,0,0,0,39,0,0,0,0,0,33,2,0,0,0,0,2,16,0,0,0,3,0,6,0,0,0,0,0,0,0
R32,0,0,2,31,0,0,0,0,0,33,0,0,0,0,0,1,16,0,0,0,2,0,3,0,0,0,0,0,0,0
R33,0,0,0,27,0,0,0,0,0,27,2,0,0,0,0,0,15,0,0,0,2,0,3,0,0,0,0,0,0,0
R34,0,0,0,33,0,0,0,0,0,29,5,0,0,0,0,1,5,0,0,0,4,0,4,0,0,0,0,0,0,0
R35,0,0,1,21,0,0,0,0,0,41,3,0,0,0,0,0,11,0,0,0,4,0,9,0,0,0,0,0,0,0
R36,0,0,0,22,0,0,0,0,0,39,3,0,0,0,0,0,9,0,0,0,4,0,8,0,0,0,0,0,0,0
R37,0,0,0,34,0,0,0,0,0,27,2,0,0,0,0,1,11,0,0,0,0,1,6,0,0,0,0,0,0,0
R38,0,0,2,26,0,0,0,0,0,28,3,0,0,0,0,0,5,0,0,0,3,0,8,0,0,0,0,0,0,0
R39,0,0,0,25,0,0,0,0,0,31,5,0,0,0,0,0,6,0,0,0,6,1,5,0,0,0,0,0,0,0
R40,0,0,2,28,0,0,0,0,0,25,2,0,0,0,0,0,6,0,0,0,3,0,3,0,0,0,0,0,0,0
R41,0,0,1,34,0,0,0,0,0,40,4,0,0,0,0,0,9,0,0,0,1,0,5,0,0,0,0,0,1,0
R42,0,0,1,28,0,0,0,0,0,29,2,0,0,0,0,0,7,0,0,0,7,0,5,0,0,0,0,0,0,0
R43,0,0,2,27,0,0,0,0,0,36,6,0,0,0,0,0,10,0,0,0,5,1,6,0,0,0,0,0,0,0
R44,0,0,0,25,0,0,0,0,0,28,2,0,0,0,0,0,6,0,0,0,7,0,7,0,0,0,0,0,0,0
R45,0,0,0,30,0,0,0,0,0,28,7,0,0,0,0,1,9,0,0,0,15,0,5,0,0,0,0,0,0,0
R46,0,0,0,33,0,0,0,0,0,23,1,0,0,0,0,1,12,0,0,0,6,0,8,0,0,0,0,0,1,0
R47,0,0,0,31,0,0,0,0,0,21,4,0,0,0,0,0,5,0,0,0,19,1,5,0,0,0,0,0,1,0
R48,0,0,0,22,0,0,0,0,0,21,4,0,0,0,0,0,4,0,0,0,11,1,2,0,0,0,0,0,0,0
R49,0,0,3,25,0,0,0,0,0,23,7,0,0,0,0,3,7,0,0,0,11,0,4,0,0,0,0,0,0,0
R50,0,0,1,24,0,0,0,0,0,20,4,0,0,0,0,1,8,0,0,0,16,3,3,0,0,0,0,0,0,0
R51,0,0,0,32,0,0,0,0,0,20,1,0,0,0,0,1,9,0,0,0,12,1,8,0,0,0,0,0,0,0
R52,0,0,1,29,0,0,0,0,0,23,4,0,0,0,0,0,5,0,1,0,16,0,5,0,0,0,0,0,0,0
R53,0,0,0,31,0,0,0,0,0,23,5,0,0,0,0,0,10,0,1,0,17,0,7,0,0,0,0,1,0,0
R54,0,0,1,26,0,0,0,0,0,21,5,0,0,0,0,1,8,0,0,0,17,1,4,0,0,0,0,0,0,0
R55,0,0,0,27,0,0,0,0,0,19,5,0,0,0,0,0,5,0,0,0,14,0,6,0,0,0,0,0,0,0
R56,0,0,1,12,0,0,0,0,0,30,9,0,0,0,0,0,6,0,0,0,18,0,1,0,0,0,0,0,1,0
R57,0,0,0,23,0,0,0,0,0,23,6,0,0,0,0,0,5,0,0,0,14,0,4,0,0,0,0,1,2,0
R58,0,0,1,26,0,0,0,0,0,21,4,0,0,0,0,3,7,0,0,0,20,0,5,0,1,0,0,0,1,0
R59,0,0,1,20,0,0,0,0,0,26,7,0,0,0,0,0,6,1,0,0,16,0,3,0,0,0,0,1,2,0
R60,0,0,1,22,0,0,0,0,0,20,5,0,0,0,0,1,8,0,0,0,20,1,4,0,1,0,0,0,2,0
R61,0,0,0,16,0,0,0,0,0,23,6,0,0,0,0,0,6,0,0,0,25,0,6,0,1,0,0,0,1,0
R62,0,0,3,22,0,0,0,0,0,15,8,0,0,0,0,1,10,2,1,0,29,0,5,0,0,0,0,0,2,0
R63,0,0,1,19,0,0,0,0,0,22,5,0,0,0,0,0,11,0,0,0,23,1,3,0,0,0,0,0,4,0
R64,0,0,0,17,0,0,0,0,0,23,6,0,0,0,0,0,11,2,1,0,26,1,8,1,1,0,0,0,3,0
R65,0,0,1,15,0,0,0,0,0,15,4,0,0,0,0,0,6,2,0,0,29,2,7,1,4,0,0,0,4,0
R66,0,0,0,17,0,0,0,0,0,21,2,0,0,0,0,1,5,2,0,2,25,1,6,1,0,0,0,0,3,0
R67,0,0,0,24,0,0,0,0,0,18,7,0,0,0,0,0,7,1,0,0,20,0,2,0,1,0,0,0,5,0
R68,0,0,2,18,0,0,0,0,0,18,6,0,0,0,0,2,8,0,0,1,21,0,3,1,0,0,0,0,5,0
R69,0,0,0,23,0,0,0,0,0,25,8,0,0,0,0,3,4,2,0,1,27,0,7,0,1,0,0,0,4,0
R70,0,0,1,18,0,0,0,0,0,10,7,0,0,0,0,2,6,3,0,0,20,0,7,2,0,0,0,0,7,0
R71,0,0,0,15,0,0,0,0,0,25,6,0,0,0,0,1,8,1,0,0,21,0,6,1,1,0,0,0,2,0
R72,0,0,1,21,0,0,0,0,0,16,8,0,0,0,0,0,8,2,0,0,23,1,3,2,0,0,0,1,8,0
R73,0,0,1,10,0,0,0,0,0,20,6,0,0,0,0,0,5,4,0,0,19,1,4,2,2,0,0,0,6,0
R74,0,0,1,14,0,0,0,0,0,14,5,0,0,0,0,1,8,2,0,2,28,0,10,0,1,0,0,0,3,1
R75,0,0,0,23,0,0,0,0,0,17,8,0,0,0,0,2,14,2,2,1,19,5,3,3,0,0,0,0,20,0
R76,0,0,0,18,0,0,0,0,0,14,6,0,0,0,0,3,9,4,1,0,21,3,4,3,1,0,0,0,10,0
R77,0,0,1,14,0,0,0,0,0,23,6,0,0,0,0,1,14,7,1,0,14,3,4,2,2,0,0,1,12,0
R78,0,0,3,9,0,0,0,0,0,25,2,0,0,0,0,2,2,4,0,1,20,1,6,1,2,0,0,1,15,0
R79,0,0,0,19,0,0,0,0,0,11,6,0,0,0,0,0,10,3,2,1,22,3,7,7,0,0,0,3,8,0
R80,0,0,0,10,0,0,0,0,0,21,3,0,0,0,0,4,12,7,1,4,20,2,8,4,3,0,0,2,20,0
R81,0,0,0,12,0,0,0,0,0,13,5,0,0,0,0,2,10,5,1,0,23,5,12,7,6,0,0,2,20,0
R82,0,0,1,10,0,0,0,0,0,9,5,0,0,0,0,5,8,5,0,1,18,4,6,5,4,0,0,3,21,0
R83,0,0,0,12,0,0,0,0,0,16,7,0,1,0,0,2,10,9,1,2,12,3,5,16,10,0,0,1,19,0
R84,0,0,1,12,0,0,0,0,0,14,6,0,1,0,0,2,20,7,0,2,6,2,6,13,18,0,0,1,15,0
R85,0,0,1,9,0,0,0,0,0,23,9,0,0,0,0,4,16,12,1,3,13,7,11,13,11,1,0,6,13,0
R86,0,0,2,10,0,0,0,0,0,21,4,0,1,0,0,1,16,11,2,6,11,4,10,29,24,1,0,1,15,0
R87,0,0,0,10,0,0,0,0,0,14,3,0,3,0,0,4,6,10,6,1,15,6,7,40,35,1,0,1,21,3
R88,0,0,1,7,0,0,0,0,0,9,6,2,4,0,0,3,16,16,5,2,13,6,9,57,41,0,0,4,30,0
R89,0,0,1,13,0,0,0,0,0,20,4,1,2,0,0,7,20,9,5,3,13,14,15,89,53,3,0,6,31,0
R90,0,0,1,8,0,0,0,0,0,14,2,0,1,1,1,5,15,21,4,4,19,7,21,119,51,0,0,6,27,0
R91,0,0,1,12,0,0,0,0,0,18,5,0,4,1,1,4,12,17,1,2,14,15,14,145,67,0,0,8,28,1
R92,0,0,0,5,0,0,0,0,0,26,4,0,7,1,0,7,17,20,3,3,21,13,16,200,86,1,0,3,32,1
R93,0,0,3,8,0,0,0,0,0,15,4,1,8,1,0,7,15,45,10,6,17,15,22,263,106,1,0,4,30,3
R94,0,0,2,12,0,0,0,0,0,19,7,1,14,5,0,12,23,48,18,3,16,21,31,344,141,2,0,6,24,2
R95,0,0,0,8,0,0,0,0,0,20,8,0,28,6,2,5,21,56,19,9,19,15,38,404,132,4,0,5,36,0
R96,0,0,0,4,0,0,0,0,1,14,5,1,30,9,0,14,22,88,30,6,26,19,51,421,167,2,0,11,41,4
R97,0,0,0,4,0,0,2,0,0,24,10,3,58,11,1,10,19,118,57,7,26,23,70,462,220,5,0,8,32,3
R98,0,0,1,8,0,0,1,1,0,12,1,1,90,17,0,20,30,142,78,6,18,22,82,528,239,13,0,4,41,8
R99,0,0,1,2,0,0,1,0,0,15,3,5,127,22,0,14,27,205,147,12,22,24,85,549,316,19,0,6,54,23
R100,0,0,0,4,0,0,5,0,2,17,6,2,187,44,1,19,37,211,161,13,20,26,109,529,357,27,0,8,41,37
R101,0,0,0,5,0,0,14,0,0,14,7,2,225,43,0,24,24,210,239,17,20,34,117,584,404,46,0,7,45,47
R102,0,0,2,5,0,0,14,0,1,10,6,4,283,76,0,17,55,217,288,27,18,23,135,495,413,77,0,13,32,83
R103,0,0,1,3,0,0,26,0,1,19,7,3,302,90,4,26,60,207,387,44,22,38,122,427,441,116,4,11,51,119
R104,0,0,1,8,0,0,35,0,0,26,3,6,356,109,0,37,68,177,438,59,15,25,164,366,483,202,2,14,44,178
R105,0,0,1,7,0,0,69,0,1,18,6,10,364,131,2,35,100,172,555,71,14,30,169,359,504,220,8,9,68,240
R106,0,0,1,4,0,0,58,0,2,23,9,7,425,156,2,35,120,135,588,118,15,30,192,313,468,321,9,12,69,278
R107,0,0,0,9,0,0,91,0,2,17,9,9,435,190,3,36,148,101,587,119,20,45,215,216,439,417,16,12,87,318
R108,0,0,2,5,0,0,115,1,2,23,12,14,467,220,0,48,206,79,560,162,15,37,183,190,424,485,19,15,107,351
R109,0,0,1,5,0,0,129,1,2,12,10,19,487,239,2,47,228,70,564,183,17,45,200,154,382,515,32,10,123,351
R110,0,0,0,6,0,0,143,1,6,28,12,25,473,272,1,42,280,51,538,236,7,36,176,99,347,544,39,12,115,354
R111,0,0,1,5,0,0,197,1,8,15,15,31,420,298,4,50,275,46,471,233,12,41,167,77,276,571,59,16,145,378
R112,0,0,2,5,0,0,199,3,4,21,25,52,408,341,6,42,315,43,376,264,14,45,150,49,221,626,80,22,169,422
R113,0,0,0,2,0,0,187,2,2,26,46,43,366,359,9,48,322,39,345,283,21,43,136,44,166,606,100,25,163,390
R114,0,0,1,5,0,0,240,6,12,19,57,63,331,384,13,39,308,35,258,303,15,47,153,30,117,540,95,21,226,404
R115,1,0,4,2,0,0,257,8,7,23,56,64,324,432,25,49,290,38,234,290,11,41,130,28,97,558,125,17,220,429
R116,0,0,2,4,0,0,267,14,18,27,88,74,285,384,35,54,287,44,166,283,9,52,120,17,64,458,108,17,221,361
R117,0,0,0,3,0,1,283,17,12,15,103,107,215,403,54,57,254,32,119,272,24,54,90,15,65,403,111,11,244,416
R118,0,1,0,3,0,0,319,19,22,27,123,110,163,390,61,69,222,25,95,264,18,85,96,5,27,299,120,26,269,327
R119,0,1,1,5,0,0,330,36,36,24,149,132,155,395,117,83,173,21,60,262,19,90,82,9,21,254,160,28,275,360
R120,1,0,2,10,0,0,365,51,37,33,181,139,125,323,140,71,145,18,34,222,17,113,67,10,22,180,133,31,264,348
R121,6,1,1,4,0,0,342,48,57,34,212,166,90,299,175,104,103,16,28,183,12,103,83,5,20,129,121,28,289,373
R122,7,0,1,4,1,0,352,58,100,37,180,120,61,245,227,145,85,22,16,182,13,138,47,6,4,88,116,46,257,293
R123,15,0,3,6,0,2,336,79,129,29,214,152,49,233,242,166,71,25,12,160,14,152,44,2,8,49,126,59,263,251
R124,22,0,1,8,0,1,359,128,142,33,248,162,27,156,295,244,52,25,5,169,16,201,38,2,0,35,139,93,250,228
R125,32,1,2,7,0,0,376,118,198,35,230,142,22,115,370,290,45,18,1,144,19,245,35,7,2,19,135,128,209,162
R126,60,4,1,3,0,1,395,196,241,51,231,148,15,90,406,383,40,31,0,144,38,259,38,6,1,10,183,152,195,130
R127,90,1,1,5,0,2,419,233,259,43,256,149,4,71,416,507,34,18,3,155,36,294,53,5,4,7,203,213,208,73
R128,145,6,0,6,0,4,405,280,208,57,251,163,8,52,426,481,29,25,2,148,42,277,42,2,3,10,182,241,152,71
R129,229,10,1,8,3,3,373,244,224,60,274,174,5,32,394,482,20,30,2,131,59,245,28,5,0,3,202,288,139,40
